数值,数量,百分比,累计数量,累计百分比
47.6,6,0.03%,19246,97.32%
47.7,4,0.02%,19250,97.34%
47.8,7,0.04%,19257,97.37%
47.9,5,0.03%,19262,97.40%
48,2,0.01%,19264,97.41%
48.1,7,0.04%,19271,97.44%
48.2,2,0.01%,19273,97.45%
48.3,3,0.02%,19276,97.47%
48.4,1,0.01%,19277,97.47%
48.5,4,0.02%,19281,97.49%
48.6,4,0.02%,19285,97.51%
48.7,3,0.02%,19288,97.53%
48.8,2,0.01%,19290,97.54%
48.9,6,0.03%,19296,97.57%
49,2,0.01%,19298,97.58%
49.1,4,0.02%,19302,97.60%
49.2,4,0.02%,19306,97.62%
49.3,5,0.03%,19311,97.64%
49.4,3,0.02%,19314,97.66%
49.5,3,0.02%,19317,97.67%
49.6,5,0.03%,19322,97.70%
49.7,5,0.03%,19327,97.72%
49.8,4,0.02%,19331,97.74%
49.9,3,0.02%,19334,97.76%
50,4,0.02%,19338,97.78%
50.1,3,0.02%,19341,97.80%
50.2,4,0.02%,19345,97.82%
50.3,4,0.02%,19349,97.84%
50.4,4,0.02%,19353,97.86%
50.5,2,0.01%,19355,97.87%
50.6,3,0.02%,19358,97.88%
50.7,6,0.03%,19364,97.91%
50.8,6,0.03%,19370,97.94%
50.9,3,0.02%,19373,97.96%
51,3,0.02%,19376,97.97%
51.1,4,0.02%,19380,97.99%
51.2,1,0.01%,19381,98.00%
51.4,4,0.02%,19385,98.02%
51.5,2,0.01%,19387,98.03%
51.6,1,0.01%,19388,98.03%
51.7,1,0.01%,19389,98.04%
51.8,1,0.01%,19390,98.04%
51.9,1,0.01%,19391,98.05%
52,3,0.02%,19394,98.06%
52.1,3,0.02%,19397,98.08%
52.2,1,0.01%,19398,98.08%
52.3,3,0.02%,19401,98.10%
52.4,3,0.02%,19404,98.11%
52.5,5,0.03%,19409,98.14%
52.6,5,0.03%,19414,98.16%
52.7,8,0.04%,19422,98.20%
52.8,2,0.01%,19424,98.22%
52.9,5,0.03%,19429,98.24%
53,6,0.03%,19435,98.27%
53.1,2,0.01%,19437,98.28%
53.2,1,0.01%,19438,98.29%
53.3,1,0.01%,19439,98.29%
53.4,2,0.01%,19441,98.30%
53.6,5,0.03%,19446,98.33%
53.7,2,0.01%,19448,98.34%
53.8,1,0.01%,19449,98.34%
54,1,0.01%,19450,98.35%
54.1,3,0.02%,19453,98.36%
54.2,2,0.01%,19455,98.37%
54.4,1,0.01%,19456,98.38%
54.5,6,0.03%,19462,98.41%
54.6,4,0.02%,19466,98.43%
54.7,4,0.02%,19470,98.45%
54.8,1,0.01%,19471,98.45%
54.9,2,0.01%,19473,98.46%
55,1,0.01%,19474,98.47%
55.4,2,0.01%,19476,98.48%
55.5,3,0.02%,19479,98.49%
55.7,3,0.02%,19482,98.51%
55.8,5,0.03%,19487,98.53%
55.9,2,0.01%,19489,98.54%
56,3,0.02%,19492,98.56%
56.1,4,0.02%,19496,98.58%
56.2,2,0.01%,19498,98.59%
56.3,1,0.01%,19499,98.59%
56.4,1,0.01%,19500,98.60%
56.5,2,0.01%,19502,98.61%
56.6,1,0.01%,19503,98.61%
56.7,1,0.01%,19504,98.62%
56.8,6,0.03%,19510,98.65%
57,3,0.02%,19513,98.67%
57.1,5,0.03%,19518,98.69%
57.2,5,0.03%,19523,98.72%
57.3,3,0.02%,19526,98.73%
57.4,1,0.01%,19527,98.74%
57.5,1,0.01%,19528,98.74%
57.6,3,0.02%,19531,98.76%
57.7,2,0.01%,19533,98.77%
57.8,4,0.02%,19537,98.79%
57.9,1,0.01%,19538,98.79%
58,3,0.02%,19541,98.81%
58.1,6,0.03%,19547,98.84%
58.2,2,0.01%,19549,98.85%
58.3,1,0.01%,19550,98.85%
58.4,5,0.03%,19555,98.88%
58.7,1,0.01%,19556,98.88%
58.9,1,0.01%,19557,98.89%
59,2,0.01%,19559,98.90%
59.1,1,0.01%,19560,98.90%
59.2,1,0.01%,19561,98.91%
59.3,3,0.02%,19564,98.92%
59.4,1,0.01%,19565,98.93%
59.5,2,0.01%,19567,98.94%
59.6,2,0.01%,19569,98.95%
59.9,2,0.01%,19571,98.96%
60,2,0.01%,19573,98.97%
60.1,2,0.01%,19575,98.98%
60.2,3,0.02%,19578,98.99%
60.3,1,0.01%,19579,99.00%
60.5,3,0.02%,19582,99.01%
60.6,2,0.01%,19584,99.02%
60.7,2,0.01%,19586,99.03%
60.8,1,0.01%,19587,99.04%
60.9,2,0.01%,19589,99.05%
61,1,0.01%,19590,99.05%
61.4,3,0.02%,19593,99.07%
61.5,2,0.01%,19595,99.08%
61.6,3,0.02%,19598,99.09%
61.7,2,0.01%,19600,99.11%
61.8,2,0.01%,19602,99.12%
61.9,1,0.01%,19603,99.12%
62,1,0.01%,19604,99.13%
62.2,2,0.01%,19606,99.14%
62.4,2,0.01%,19608,99.15%
62.5,1,0.01%,19609,99.15%
62.7,1,0.01%,19610,99.16%
62.8,3,0.02%,19613,99.17%
63,2,0.01%,19615,99.18%
63.1,4,0.02%,19619,99.20%
63.2,2,0.01%,19621,99.21%
63.3,1,0.01%,19622,99.22%
63.4,1,0.01%,19623,99.22%
63.5,2,0.01%,19625,99.23%
63.6,1,0.01%,19626,99.24%
63.7,1,0.01%,19627,99.24%
63.9,5,0.03%,19632,99.27%
64,1,0.01%,19633,99.27%
64.1,1,0.01%,19634,99.28%
64.4,2,0.01%,19636,99.29%
64.5,1,0.01%,19637,99.29%
64.6,3,0.02%,19640,99.31%
64.8,4,0.02%,19644,99.33%
64.9,1,0.01%,19645,99.33%
65,1,0.01%,19646,99.34%
65.1,1,0.01%,19647,99.34%
65.3,4,0.02%,19651,99.36%
65.4,1,0.01%,19652,99.37%
65.6,4,0.02%,19656,99.39%
65.8,1,0.01%,19657,99.39%
65.9,3,0.02%,19660,99.41%
66.2,2,0.01%,19662,99.42%
66.3,1,0.01%,19663,99.42%
66.4,1,0.01%,19664,99.43%
66.8,2,0.01%,19666,99.44%
66.9,1,0.01%,19667,99.44%
67,1,0.01%,19668,99.45%
67.1,2,0.01%,19670,99.46%
67.3,1,0.01%,19671,99.46%
67.5,3,0.02%,19674,99.48%
67.7,2,0.01%,19676,99.49%
67.9,1,0.01%,19677,99.49%
68,2,0.01%,19679,99.50%
68.2,1,0.01%,19680,99.51%
68.4,3,0.02%,19683,99.52%
68.5,1,0.01%,19684,99.53%
68.6,1,0.01%,19685,99.53%
68.7,1,0.01%,19686,99.54%
69.2,2,0.01%,19688,99.55%
69.6,1,0.01%,19689,99.56%
69.7,1,0.01%,19690,99.56%
70,1,0.01%,19691,99.57%
70.2,3,0.02%,19694,99.58%
70.4,1,0.01%,19695,99.59%
71,2,0.01%,19697,99.60%
71.2,3,0.02%,19700,99.61%
71.3,1,0.01%,19701,99.62%
71.5,1,0.01%,19702,99.62%
71.7,1,0.01%,19703,99.63%
71.8,2,0.01%,19705,99.64%
72.3,1,0.01%,19706,99.64%
72.4,2,0.01%,19708,99.65%
73.2,1,0.01%,19709,99.66%
73.4,2,0.01%,19711,99.67%
73.7,1,0.01%,19712,99.67%
73.8,1,0.01%,19713,99.68%
73.9,1,0.01%,19714,99.68%
74.1,1,0.01%,19715,99.69%
74.2,1,0.01%,19716,99.69%
74.3,1,0.01%,19717,99.70%
74.4,1,0.01%,19718,99.70%
74.8,1,0.01%,19719,99.71%
75.1,1,0.01%,19720,99.71%
75.2,2,0.01%,19722,99.72%
75.9,1,0.01%,19723,99.73%
76.5,1,0.01%,19724,99.73%
76.8,2,0.01%,19726,99.74%
76.9,1,0.01%,19727,99.75%
77,1,0.01%,19728,99.75%
77.9,2,0.01%,19730,99.76%
78.1,1,0.01%,19731,99.77%
78.3,1,0.01%,19732,99.77%
78.6,1,0.01%,19733,99.78%
79.7,1,0.01%,19734,99.78%
80.2,2,0.01%,19736,99.79%
80.4,1,0.01%,19737,99.80%
82.2,1,0.01%,19738,99.80%
82.5,2,0.01%,19740,99.81%
82.7,1,0.01%,19741,99.82%
83,1,0.01%,19742,99.82%
83.1,1,0.01%,19743,99.83%
83.2,1,0.01%,19744,99.83%
83.7,1,0.01%,19745,99.84%
84.1,2,0.01%,19747,99.85%
84.7,1,0.01%,19748,99.85%
85.8,1,0.01%,19749,99.86%
86.2,1,0.01%,19750,99.86%
86.3,1,0.01%,19751,99.87%
86.4,1,0.01%,19752,99.87%
86.7,1,0.01%,19753,99.88%
88.4,1,0.01%,19754,99.88%
88.8,1,0.01%,19755,99.89%
90.6,1,0.01%,19756,99.89%
91.6,1,0.01%,19757,99.90%
92.7,1,0.01%,19758,99.90%
94.6,1,0.01%,19759,99.91%
97.6,1,0.01%,19760,99.91%
98,1,0.01%,19761,99.92%
98.8,1,0.01%,19762,99.92%
99.6,1,0.01%,19763,99.93%
99.8,1,0.01%,19764,99.93%
99.9,1,0.01%,19765,99.94%
100,1,0.01%,19766,99.94%
100.1,1,0.01%,19767,99.95%
101.3,1,0.01%,19768,99.95%
103,1,0.01%,19769,99.96%
104.5,1,0.01%,19770,99.96%
105.3,1,0.01%,19771,99.97%
106.4,1,0.01%,19772,99.97%
108,1,0.01%,19773,99.98%
109.7,1,0.01%,19774,99.98%
110,1,0.01%,19775,99.99%
112.5,1,0.01%,19776,99.99%
131.6,1,0.01%,19777,100.00%
